market,code,active1,price,last_close,open,high,low,servertime,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2,liutongguben_raw,liutongguben_factor,流通盘,circulating,turnover_low_ratio,turnover_low_ok,ma20_support_ok,ma20_oscillation_ok
0,000007,182,12.37,12.3,12.31,12.48,12.2,9:39:21.384,9393564,-1237,14834,6,18320254.0,7655,7179,0,3853,12.36,12.37,32,13,12.35,12.38,26,173,12.34,12.39,720,52,12.33,12.4,9,113,12.32,12.41,11,627,"(13,)",0,0,0,0,-0.07,182,346448007.8125,18,10,20251031,19920413,346448007.8125,20700000.0,31760900.87890625,1542256875.0,0.0,0.0,99.99999776482582,3705430937.5,2598828906.25,435443007.8125,945999.9847412109,12551.0,1599967031.25,144065000.0,1570240937.5,1826725937.5,2998466875.0,2659123125.0,550212031.25,28079001.46484375,1138000.0305175781,2837065937.5,-257132011.71875,549862968.75,35642998.046875,24640000.0,34179001.46484375,-3279330937.5,0.5270000100135803,9.0,346448007.8125,1,4285561856.6406245,4285561856.6406245,1.0,True,True,True
0,000010,239,3.65,3.62,3.62,3.66,3.54,9:39:26.616,9394436,-365,75616,34,27299312.0,35344,40272,0,36247,3.64,3.65,1109,1260,3.63,3.66,429,1341,3.62,3.67,120,573,3.61,3.68,394,1069,3.6,3.69,1392,1837,"(12,)",0,0,0,0,0.83,239,848033437.5,18,21,20251216,19951027,1149652265.625,14480000.0,-594307617.1875,3538041250.0,0.0,0.0,-299.99999329447746,27194105000.0,21016562500.0,54823999.0234375,17625999.755859375,34767.0,23266005000.0,447741015.625,21103560000.0,3264786875.0,4246812812.5,3909369062.5,15298285000.0,-222531015.625,-7787999.8779296875,-411815000.0,-549964023.4375,1034025000.0,-271158007.8125,-305187011.71875,-319038984.375,-28424925000.0,0.2840000092983246,9.0,848033437.5,1,3095322046.875,3095322046.875,0.85,True,True,True
0,000011,169,9.23,9.28,9.27,9.27,9.15,9:39:23.268,9393878,-923,11915,26,10979164.0,5357,6558,-1,3226,9.23,9.24,49,58,9.22,9.25,37,407,9.21,9.26,45,105,9.2,9.27,35,72,9.19,9.28,14,113,"(13,)",0,0,0,0,0.76,169,526475507.8125,18,11,20251030,19920330,595979101.5625,20700000.0,35810200.1953125,13178067500.0,67605200.1953125,0.0,500.0000074505806,153041960000.0,142511010000.0,427474023.4375,3370000.0,37276.0,46318395000.0,-1376573125.0,804880000.0,33937560000.0,17157720000.0,12862247500.0,6030171875.0,360598007.8125,7345000.0,-23751710000.0,3675944062.5,108231440000.0,480114023.4375,260592988.28125,322211015.625,25949710000.0,5.693999767303467,9.0,526475507.8125,1,4859368937.109375,4859368937.109375,1.0,True,True,True
0,000014,266,15.04,14.53,15.74,15.74,14.9,9:39:19.782,9393297,-1504,167865,392,255997008.0,87880,79985,1,575092,15.01,15.04,14,29,15.0,15.05,1197,33,14.99,15.06,69,11,14.98,15.08,49,111,14.97,15.09,90,73,"(1358,)",0,0,0,0,-0.32,266,242046191.40625,18,11,20251031,19920602,242046191.40625,20700000.0,468801601.5625,3251224687.5,0.0,0.0,-1299.9999523162842,23184745000.0,19459697500.0,176026992.1875,0.0,26220.0,6582171875.0,515870000.0,99692001.953125,15913248750.0,208587988.28125,163787001.953125,55407001.953125,-406851992.1875,0.0,575149023.4375,539035000.0,13983501250.0,-407065000.0,-324804003.90625,-322223007.8125,10506477500.0,6.574999809265137,9.0,242046191.40625,1,3640374718.75,3640374718.75,0.85,True,True,True
0,000019,171,7.1,7.16,7.16,7.17,7.09,9:39:24.546,9394091,-710,12091,12,8595477.0,8437,3654,0,730,7.09,7.1,1960,16,7.08,7.11,951,929,7.07,7.12,429,91,7.06,7.13,541,66,7.05,7.14,466,291,"(12,)",0,0,0,0,0.0,171,416216406.25,18,17,20260202,19921012,1152535234.375,15510000.0,2442543437.5,38018845000.0,51749301.7578125,0.0,2099.9999344348907,70118570000.0,40553400000.0,19740806250.0,4393831875.0,43016.0,18876087500.0,16100999.755859375,12719082500.0,49891070000.0,39184755000.0,32557362500.0,1590882031.25,3056041875.0,-20161999.51171875,12651572500.0,320012011.71875,35200365000.0,3065269062.5,2434335000.0,2435265000.0,19486150000.0,4.328999996185303,9.0,416216406.25,1,2955136484.375,2955136484.375,0.9,True,True,True
0,000020,145,15.33,15.3,15.27,15.46,15.2,9:39:17.808,9392968,-1533,6082,21,9302394.0,2789,3293,0,1680,15.33,15.34,53,137,15.32,15.38,112,32,15.31,15.39,28,9,15.3,15.4,62,79,15.29,15.41,50,25,"(12,)",0,0,0,0,0.52,145,181165390.625,18,35,20251025,19920428,283161191.40625,12390000.0,142430498.046875,6062678750.0,101995800.78125,0.0,799.9999821186066,7532313125.0,5082980000.0,1613215000.0,328326992.1875,28401.0,3228700937.5,0.0,1465776875.0,4249259062.5,6829502500.0,5992382500.0,2295464062.5,256423007.8125,5545000.0,-446760000.0,-461106015.625,706965000.0,256537988.28125,212668984.375,212668984.375,-822046015.625,1.5010000467300415,9.0,181165390.625,1,2777265438.28125,2777265438.28125,0.9,True,True,True
0,000068,114,3.57,3.56,3.57,3.59,3.55,9:39:26.664,9394444,-357,16925,1,6037344.5,6674,10252,0,1881,3.57,3.58,794,3635,3.56,3.59,411,1835,3.55,3.6,2648,2484,3.54,3.61,2962,1407,3.53,3.62,1842,974,"(5645,)",0,0,0,0,0.28,114,1006671484.375,18,39,20251030,19970611,1006671484.375,15510000.0,-733717187.5,5918214375.0,0.0,0.0,-1000.0000149011612,40219865000.0,14311812500.0,571526992.1875,1144212968.75,38067.0,17086326250.0,3901280000.0,11886831250.0,6079765000.0,5176196250.0,4781256875.0,4205048750.0,-396598007.8125,-725000.0,2500684062.5,-426075000.0,593673007.8125,-899275000.0,-968298046.875,-1000640000.0,-17450876250.0,0.6039999723434448,9.0,1006671484.375,1,3593817199.21875,3593817199.21875,1.0,True,True,True
0,000151,155,13.72,13.72,13.78,13.78,13.65,9:39:18.774,9393129,-1372,4427,21,6071296.0,2512,1915,-1,4354,13.72,13.73,5,2,13.71,13.74,155,122,13.7,13.75,69,51,13.69,13.76,50,83,13.68,13.77,51,25,"(13,)",0,0,0,0,0.37,155,307934707.03125,7,13,20260203,20000906,337370703.125,15510000.0,-1428463750.0,9149068750.0,0.0,0.0,-799.9999821186066,21975712500.0,19033037500.0,741727968.75,265443984.375,26817.0,18864618750.0,-1003874062.5,9930790625.0,3328605000.0,8262118750.0,6859642500.0,2156232031.25,-295691992.1875,274084003.90625,-867405937.5,-541215000.0,1609050937.5,-293066992.1875,-340860000.0,-283750996.09375,-11422436250.0,0.9869999885559082,9.0,307934707.03125,1,4224864180.46875,4224864180.46875,0.9,True,True,True
0,000153,151,6.72,6.73,6.73,6.74,6.7,9:39:24.774,9394129,-672,8402,492,5640711.0,4546,3856,1,1810,6.71,6.72,136,99,6.7,6.73,719,500,6.69,6.74,261,305,6.68,6.75,423,394,6.67,6.76,221,584,"(2572,)",0,0,0,0,0.15,151,458868515.625,24,34,20260110,20000920,464685507.8125,12270000.0,1473028437.5,32614227500.0,0.0,0.0,2199.999988079071,49684010000.0,20919348750.0,11110061250.0,2393592031.25,39078.0,23050822500.0,244270000.0,4581380000.0,21015455000.0,31251460000.0,25781397500.0,11004463750.0,1143336015.625,84765000.0,888135000.0,192407988.28125,5794623750.0,1139499062.5,982150000.0,1002842968.75,10438818125.0,4.521999835968018,9.0,458868515.625,1,3083596425.0,3083596425.0,1.0,True,True,True
0,000404,170,7.2,7.18,7.21,7.21,7.16,9:39:24.486,9394081,-720,6951,2,4995768.0,2909,4042,0,4751,7.19,7.2,157,1195,7.18,7.21,838,743,7.17,7.22,968,696,7.16,7.23,9973,368,7.15,7.24,1330,1017,"(1612,)",0,0,0,0,0.42,170,692719609.375,22,23,20251023,19960619,695996015.625,12340000.0,3759364062.5,96869820000.0,0.0,0.0,5500.00011920929,151571590000.0,115506160000.0,15750201250.0,2046110000.0,30044.0,89338320000.0,13812912500.0,15952551250.0,42522180000.0,93490320000.0,80946260000.0,27403372500.0,6103385000.0,699833984.375,4739920000.0,12938211250.0,13725431250.0,6111013750.0,5252245000.0,3798670000.0,18454576250.0,6.109000205993652,9.0,692719609.375,1,4987581187.5,4987581187.5,1.0,True,True,True
