market,code,active1,price,last_close,open,high,low,servertime,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2,liutongguben_raw,liutongguben_factor,流通盘,circulating,turnover_low_ratio,turnover_low_ok,ma20_support_ok,ma20_oscillation_ok
0,000007,953,12.26,12.3,12.31,12.48,12.15,11:08:05.250,11080875,-1226,46505,2,57132612.0,27163,19342,0,3853,12.26,12.27,17,70,12.25,12.28,117,179,12.24,12.29,40,394,12.23,12.3,162,1312,12.22,12.31,69,433,"(13,)",0,0,0,0,0.25,953,346448007.8125,18,10,20251031,19920413,346448007.8125,20700000.0,31760900.87890625,1542256875.0,0.0,0.0,99.99999776482582,3705430937.5,2598828906.25,435443007.8125,945999.9847412108,12551.0,1599967031.25,144065000.0,1570240937.5,1826725937.5,2998466875.0,2659123125.0,550212031.25,28079001.46484375,1138000.030517578,2837065937.5,-257132011.71875,549862968.75,35642998.046875,24640000.0,34179001.46484375,-3279330937.5,0.5270000100135803,9.0,346448007.8125,1,4247452575.78125,4247452575.78125,1.0,True,True,True
0,000010,1158,3.65,3.62,3.62,3.69,3.54,11:08:10.416,11081736,-365,191982,52,69913480.0,100656,91326,-1,36247,3.65,3.66,5090,735,3.64,3.67,5101,3794,3.63,3.68,840,3030,3.62,3.69,644,6361,3.61,3.7,1045,4889,"(13,)",0,0,0,0,-0.26,1158,848033437.5,18,21,20251216,19951027,1149652265.625,14480000.0,-594307617.1875,3538041250.0,0.0,0.0,-299.99999329447746,27194105000.0,21016562500.0,54823999.0234375,17625999.755859375,34767.0,23266005000.0,447741015.625,21103560000.0,3264786875.0,4246812812.5,3909369062.5,15298285000.0,-222531015.625,-7787999.877929687,-411815000.0,-549964023.4375,1034025000.0,-271158007.8125,-305187011.71875,-319038984.375,-28424925000.0,0.2840000092983246,9.0,848033437.5,1,3095322046.875,3095322046.875,0.85,True,True,True
0,000011,799,9.25,9.28,9.27,9.3,9.15,11:08:05.256,11080876,-925,35185,10,32480560.0,17097,18088,0,3226,9.24,9.25,43,29,9.23,9.26,1,183,9.22,9.27,142,184,9.21,9.28,165,1395,9.2,9.29,555,33,"(12,)",0,0,0,0,0.0,799,526475507.8125,18,11,20251030,19920330,595979101.5625,20700000.0,35810200.1953125,13178067500.0,67605200.1953125,0.0,500.0000074505806,153041960000.0,142511010000.0,427474023.4375,3370000.0,37276.0,46318395000.0,-1376573125.0,804880000.0,33937560000.0,17157720000.0,12862247500.0,6030171875.0,360598007.8125,7345000.0,-23751710000.0,3675944062.5,108231440000.0,480114023.4375,260592988.28125,322211015.625,25949710000.0,5.693999767303467,9.0,526475507.8125,1,4869898447.265625,4869898447.265625,1.0,True,True,True
0,000019,897,7.12,7.16,7.16,7.17,7.05,11:08:08.334,11081389,-712,58908,24,41830184.0,29646,29263,0,730,7.12,7.13,62,359,7.11,7.14,529,150,7.1,7.15,1234,665,7.09,7.16,792,415,7.08,7.17,624,650,"(3213,)",0,0,0,0,0.0,897,416216406.25,18,17,20260202,19921012,1152535234.375,15510000.0,2442543437.5,38018845000.0,51749301.7578125,0.0,2099.9999344348907,70118570000.0,40553400000.0,19740806250.0,4393831875.0,43016.0,18876087500.0,16100999.755859377,12719082500.0,49891070000.0,39184755000.0,32557362500.0,1590882031.25,3056041875.0,-20161999.51171875,12651572500.0,320012011.71875,35200365000.0,3065269062.5,2434335000.0,2435265000.0,19486150000.0,4.328999996185303,9.0,416216406.25,1,2963460812.5,2963460812.5,0.9,True,True,True
0,000020,830,15.4,15.3,15.27,15.5,15.2,11:08:03.366,11080561,-1540,30239,1,46517544.0,13579,16660,0,1680,15.39,15.4,16,34,15.38,15.41,71,188,15.37,15.42,4,157,15.36,15.43,53,30,15.35,15.44,21,59,"(12,)",0,0,0,0,-0.05,830,181165390.625,18,35,20251025,19920428,283161191.40625,12390000.0,142430498.046875,6062678750.0,101995800.78125,0.0,799.9999821186066,7532313125.0,5082980000.0,1613215000.0,328326992.1875,28401.0,3228700937.5,0.0,1465776875.0,4249259062.5,6829502500.0,5992382500.0,2295464062.5,256423007.8125,5545000.0,-446760000.0,-461106015.625,706965000.0,256537988.28125,212668984.375,212668984.375,-822046015.625,1.5010000467300415,9.0,181165390.625,1,2789947015.625,2789947015.625,0.9,True,True,True
0,000068,623,3.59,3.56,3.57,3.61,3.55,11:08:10.452,11081742,-359,66517,29,23846830.0,28179,38339,0,1881,3.58,3.59,3336,1030,3.57,3.6,2553,5567,3.56,3.61,3185,6482,3.55,3.62,3329,2299,3.54,3.63,1245,1349,"(5644,)",0,0,0,0,0.0,623,1006671484.375,18,39,20251030,19970611,1006671484.375,15510000.0,-733717187.5,5918214375.0,0.0,0.0,-1000.0000149011612,40219865000.0,14311812500.0,571526992.1875,1144212968.75,38067.0,17086326250.0,3901280000.0,11886831250.0,6079765000.0,5176196250.0,4781256875.0,4205048750.0,-396598007.8125,-725000.0,2500684062.5,-426075000.0,593673007.8125,-899275000.0,-968298046.875,-1000640000.0,-17450876250.0,0.6039999723434448,9.0,1006671484.375,1,3613950628.90625,3613950628.90625,1.0,True,True,True
0,000151,843,13.8,13.72,13.78,13.83,13.65,11:08:04.326,11080721,-1380,33910,10,46665000.0,15742,18168,0,4354,13.8,13.81,178,83,13.79,13.82,219,452,13.78,13.83,225,830,13.77,13.84,141,47,13.76,13.85,183,212,"(13,)",0,0,0,0,-0.13,843,307934707.03125,7,13,20260203,20000906,337370703.125,15510000.0,-1428463750.0,9149068750.0,0.0,0.0,-799.9999821186066,21975712500.0,19033037500.0,741727968.75,265443984.375,26817.0,18864618750.0,-1003874062.5,9930790625.0,3328605000.0,8262118750.0,6859642500.0,2156232031.25,-295691992.1875,274084003.90625,-867405937.5,-541215000.0,1609050937.5,-293066992.1875,-340860000.0,-283750996.09375,-11422436250.0,0.9869999885559082,9.0,307934707.03125,1,4249498957.03125,4249498957.03125,0.9,True,True,True
0,000153,728,6.74,6.73,6.73,6.76,6.7,11:08:04.962,11080827,-674,38476,20,25913408.0,20829,17647,0,1810,6.74,6.75,246,1075,6.73,6.76,1425,2182,6.72,6.77,1615,1730,6.71,6.78,719,1870,6.7,6.79,1231,1171,"(1357,)",0,0,0,0,-0.14,728,458868515.625,24,34,20260110,20000920,464685507.8125,12270000.0,1473028437.5,32614227500.0,0.0,0.0,2199.999988079071,49684010000.0,20919348750.0,11110061250.0,2393592031.25,39078.0,23050822500.0,244270000.0,4581380000.0,21015455000.0,31251460000.0,25781397500.0,11004463750.0,1143336015.625,84765000.0,888135000.0,192407988.28125,5794623750.0,1139499062.5,982150000.0,1002842968.75,10438818125.0,4.521999835968018,9.0,458868515.625,1,3092773795.3125,3092773795.3125,1.0,True,True,True
0,000419,820,6.69,6.68,6.67,6.7,6.59,11:08:08.592,11081432,-669,46932,9,31226616.0,22659,24273,0,1708,6.68,6.69,756,120,6.67,6.7,387,1369,6.66,6.71,711,1599,6.65,6.72,463,615,6.64,6.73,521,709,"(1804,)",0,0,0,0,0.15,820,543582695.3125,21,12,20260115,19960816,543582695.3125,15520000.0,1461816718.75,12834572500.0,0.0,0.0,2300.000041723252,56931980000.0,25169380000.0,6940940625.0,1927214062.5,25729.0,11140572500.0,3254465000.0,4173943125.0,34974000000.0,13563580000.0,10466496250.0,693097031.25,1615265937.5,764592031.25,2976674062.5,1796407968.75,1916800937.5,1643415000.0,1369124062.5,1244138984.375,14403515000.0,6.434000015258789,9.0,543582695.3125,1,3636568231.640625,3636568231.640625,1.0,True,True,True
0,000421,895,7.08,7.08,7.1,7.11,7.03,11:08:08.358,11081393,-708,51220,16,36200512.0,27574,23646,0,5510,7.07,7.09,913,924,7.06,7.1,326,2618,7.05,7.11,780,1141,7.04,7.12,1673,1322,7.03,7.13,1042,887,"(12,)",0,0,0,0,0.0,895,574296289.0625,26,42,20251028,19960806,574415703.125,13450000.0,-144157802.734375,36379860000.0,0.0,0.0,2000.0000298023224,105708600000.0,48398695000.0,36912897500.0,1069474062.5,31623.0,55550710000.0,11936232500.0,4081243125.0,28097875000.0,59683190000.0,51473180000.0,3359805000.0,2560211875.0,121943007.8125,15770742500.0,-23207001.953125,21868755000.0,2591796093.75,1877730000.0,1159011015.625,16109748750.0,4.892000198364258,9.0,574296289.0625,1,4066017726.5625,4066017726.5625,0.95,True,True,True
0,000430,530,7.4,7.49,7.45,7.47,7.38,11:08:08.166,11081361,-740,23192,1,17184368.0,16590,6602,0,872,7.4,7.41,1994,182,7.39,7.42,3410,156,7.38,7.43,2269,26,7.37,7.44,1787,178,7.36,7.45,1352,312,"(13,)",0,0,0,0,-0.12,530,370556484.375,21,10,20251226,19960829,809635390.625,23780000.0,-647250507.8125,3102056875.0,0.0,0.0,-599.9999865889549,20991755000.0,1186190000.0,8871136875.0,4541523125.0,19698.0,8568122500.0,0.0,8522395000.0,2677614062.5,3365975000.0,2735040937.5,81823999.0234375,-132520000.0,22868999.0234375,418876992.1875,59000000.0,37773999.0234375,-133357998.046875,-223963984.375,-223963984.375,-10515551250.0,0.6610000133514404,9.0,370556484.375,1,2742117984.375,2742117984.375,1.0,True,True,True
0,000488,550,2.17,2.12,2.12,2.2,2.12,11:08:11.304,11081884,-217,206052,3,44390752.0,45251,160801,0,25444,2.17,2.18,12882,6533,2.16,2.19,6114,19073,2.15,2.2,8197,25027,2.14,2.21,9343,7733,2.13,2.22,12334,13031,"(13,)",0,0,0,0,-0.45,550,1681387343.75,15,38,20251031,20001120,2941456250.0,12220000.0,-7100985000.0,198247460000.0,706385234.375,528305195.3125,-20499.99952316284,528549760000.0,85279520000.0,297749800000.0,16165218750.0,109647.0,400892040000.0,21475597500.0,52412795000.0,31968895000.0,33478605000.0,54326125000.0,8824521250.0,-65228440000.0,-7154050000.0,7025893125.0,-405815000.0,26830045000.0,-65493170000.0,-64365090000.0,-60078160000.0,-53999990000.0,1.087000012397766,9.0,1681387343.75,1,3648610535.9375,3648610535.9375,1.0,True,True,True
0,000504,203,8.87,8.84,8.81,8.92,8.79,11:08:07.284,11081214,-887,9344,6,8277806.0,4112,5232,0,1542,8.86,8.87,128,48,8.85,8.88,310,1,8.84,8.89,333,336,8.83,8.9,269,666,8.82,8.91,45,152,"(12,)",0,0,0,0,-0.21,203,329117890.625,21,34,20251027,19921208,330023085.9375,22750000.0,-84107597.65625,924170625.0,0.0,0.0,199.99999552965164,8419559375.0,5174368125.0,1484317031.25,623653984.375,12189.0,3643578750.0,1203283984.375,4234728125.0,2423275000.0,834383984.375,305173007.8125,1382132968.75,-24811000.9765625,53103002.9296875,173248007.8125,-447125000.0,462548007.8125,-31110000.0,-31495000.0,52322998.046875,-5457141250.0,0.734000027179718,9.0,329117890.625,1,2919275689.8437495,2919275689.8437495,1.0,True,True,True
0,000505,994,7.23,7.2,7.22,7.31,7.09,11:08:08.268,11081378,-723,70191,9,50470292.0,32811,37380,0,3263,7.23,7.24,156,295,7.22,7.25,10,817,7.21,7.26,95,640,7.2,7.27,962,912,7.19,7.28,1823,2308,"(1805,)",0,0,0,0,0.14,994,632380390.625,30,14,20260105,19921221,726950234.375,12130000.0,278544296.875,94933670000.0,64975000.0,0.0,-700.0000029802322,84974840000.0,64703845000.0,8351063125.0,3744364062.5,57700.0,38193735000.0,3401301875.0,16836737500.0,30783515000.0,62115240000.0,59029200000.0,976221953.125,-528590000.0,44873002.9296875,1490879062.5,5031657812.5,33017137500.0,-679746015.625,-787287031.25,-515016015.625,5288969375.0,4.235000133514404,9.0,632380390.625,1,4572110224.21875,4572110224.21875,0.8,True,True,True
0,000507,612,5.45,5.47,5.5,5.5,5.43,11:08:07.536,11081256,-545,27549,15,15038029.0,14643,12906,0,2596,5.45,5.46,2279,1076,5.44,5.47,2223,2000,5.43,5.48,2050,3025,5.42,5.49,1037,2362,5.41,5.5,907,2026,"(13,)",0,0,0,0,-0.17,612,902354531.25,12,16,20260202,19930326,919734921.875,16550000.0,2387892187.5,40335870000.0,0.0,0.0,2500.0,202266560000.0,57418140000.0,69174775000.0,13909947500.0,66552.0,43900485000.0,29694100000.0,13712315000.0,62724800000.0,32439140000.0,23354847500.0,13021222500.0,5420471250.0,1528277968.75,6926250000.0,-12811961250.0,2749243125.0,5137523125.0,3937955937.5,2483917031.25,25570240000.0,5.951000213623047,9.0,902354531.25,1,4917832195.3125,4917832195.3125,1.0,True,True,True
0,000509,550,3.53,3.52,3.52,3.55,3.48,11:08:10.488,11081748,-353,70182,5,24719192.0,27882,42301,0,1746,3.53,3.54,3199,3092,3.52,3.55,2395,7062,3.51,3.56,784,4360,3.5,3.57,2051,2280,3.49,3.58,1399,3320,"(3213,)",0,0,0,0,-0.27,550,1073124765.625,23,35,20260122,19930507,1073127968.75,12390000.0,-123317099.609375,7154946875.0,0.0,0.0,-99.99999776482582,8714050625.0,6069130625.0,1357792031.25,311953007.8125,35000.0,4535873125.0,809075937.5,2507822031.25,1242707031.25,5884425000.0,5588291250.0,1844973125.0,-87219003.90625,0.0,-16149000.244140623,-146022998.046875,1685170000.0,-86327001.953125,-92207001.953125,-98557998.046875,-12156351250.0,0.1159999966621398,9.0,1073124765.625,1,3788130422.65625,3788130422.65625,1.0,True,True,True
0,000514,827,5.24,5.26,5.29,5.34,5.2,11:08:00.462,11080077,-524,70442,2,36847704.0,42948,27494,0,4211,5.24,5.25,1303,1746,5.23,5.26,1535,951,5.22,5.27,2136,1025,5.21,5.28,2956,1885,5.2,5.29,2145,1075,"(13,)",0,0,0,0,-0.18,827,843770937.5,25,11,20260119,19930712,843770937.5,20700000.0,-455557812.5,2950316250.0,0.0,0.0,1899.999976158142,72499295000.0,39454885000.0,5755298750.0,996840000.0,50739.0,24339522500.0,2779458125.0,11977821250.0,37923340000.0,1982080000.0,1626945937.5,2423042968.75,1819432031.25,2457876875.0,604072031.25,-28726000.9765625,27342627500.0,1895022031.25,1592417968.75,1613361093.75,15454873750.0,4.494999885559082,9.0,843770937.5,1,4421359712.5,4421359712.5,0.9,True,True,True
0,000518,215,2.59,2.59,2.61,2.63,2.59,11:07:21.852,11073642,-259,45427,71,11832743.0,22679,22748,0,3069,2.59,2.6,6752,3223,2.58,2.61,3224,2432,2.57,2.62,1667,7707,2.56,2.63,2403,7777,2.55,2.64,3221,2988,"(653,)",0,0,0,0,-0.37,215,1029535703.125,26,34,20260204,19930908,1029556328.125,12270000.0,-146171601.5625,1559943437.5,0.0,0.0,-99.99999776482582,5091444062.5,3968364062.5,486351992.1875,102902001.953125,59387.0,892163984.375,264620000.0,355726992.1875,3590159062.5,2943740937.5,1948471093.75,742903984.375,-131306005.859375,15474000.244140623,839712031.25,681520000.0,2222590937.5,-140775000.0,-134955000.0,-126972998.046875,-7445830000.0,0.3490000069141388,9.0,1029535703.125,1,2666497471.09375,2666497471.09375,1.0,True,True,True
